Accelerometer_x_axis, Accelerometer_y_axis, Accelerometer_z_axis
-0.2353596, -2.0005566, 9.0613446
-0.1569064, -2.0005566, 9.1005712
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.0613446
-0.196133, -2.0005566, 9.1005712
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1397978
-0.1569064, -1.96133, 9.1005712
-0.1569064, -2.0005566, 9.0613446
-0.196133, -1.96133, 9.1397978
-0.1569064, -2.0005566, 9.1790244
-0.1569064, -1.96133, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.196133, -1.96133, 9.1397978
-0.1569064, -2.0397832, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.196133, -1.96133, 9.1005712
-0.196133, -2.0397832, 9.1790244
-0.196133, -1.96133, 9.1005712
-0.2353596, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1397978
-0.196133, -1.96133, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.1569064, -2.0397832, 9.1790244
-0.196133, -1.96133, 9.1397978
-0.196133, -1.96133, 9.1397978
-0.1569064, -2.0397832, 9.1005712
-0.196133, -1.96133, 9.1005712
-0.1569064, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0397832, 9.1397978
-0.196133, -2.0397832, 9.1790244
-0.1569064, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1005712
-0.196133, -1.96133, 9.1397978
-0.196133, -1.96133, 9.218251
-0.196133, -1.96133, 9.1790244
-0.1569064, -2.0397832, 9.1397978
-0.1569064, -2.0005566, 9.1005712
-0.1569064, -2.0397832, 9.218251
-0.196133, -1.96133, 9.218251
-0.196133, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.1790244
-0.196133, -2.0397832, 9.1790244
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1397978
-0.1569064, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1005712
-0.196133, -1.96133, 9.1397978
-0.1569064, -2.0397832, 9.1790244
-0.1176798, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.2353596, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2353596, -1.96133, 9.1397978
-0.1569064, -2.0397832, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0397832, 9.1790244
-0.1569064, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1397978
-0.196133, -1.96133, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1397978
-0.2353596, -2.0397832, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.1569064, -1.96133, 9.1397978
-0.196133, -2.0005566, 9.1397978
-0.2353596, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.1790244
-0.2353596, -1.96133, 9.1005712
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.1569064, -2.0397832, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.1569064, -2.0397832, 9.1397978
-0.196133, -1.96133, 9.218251
-0.196133, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.1790244
-0.196133, -1.96133, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.1397978
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1397978
-0.1569064, -2.0005566, 9.1397978
-0.2353596, -1.96133, 9.218251
-0.1569064, -2.0397832, 9.218251
-0.196133, -2.0397832, 9.218251
-0.1569064, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1397978
-0.1569064, -2.0005566, 9.1790244
-0.2353596, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0397832, 9.218251
-0.2353596, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.1569064, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.218251
-0.196133, -1.96133, 9.218251
-0.1569064, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.1790244
-0.1176798, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.218251
-0.196133, -2.0397832, 9.1790244
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.1790244
-0.196133, -1.96133, 9.1397978
-0.196133, -1.96133, 9.1790244
-0.1569064, -1.96133, 9.1790244
-0.2353596, -1.96133, 9.1397978
-0.2353596, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.218251
-0.196133, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.1397978
-0.1569064, -2.0397832, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.2745862, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0397832, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.1569064, -1.96133, 9.1397978
-0.196133, -1.96133, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.196133, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.1790244
-0.1569064, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.1790244
-0.196133, -1.96133, 9.1790244
-0.2353596, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.218251
-0.196133, -1.96133, 9.218251
-0.1569064, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.1790244
-0.2353596, -1.96133, 9.1790244
-0.196133, -2.0397832, 9.1397978
-0.1569064, -2.0397832, 9.1790244
-0.196133, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0397832, 9.218251
-0.196133, -1.96133, 9.218251
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.1569064, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.2745862, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.2745862, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.218251
-0.2745862, -1.96133, 9.218251
-0.196133, -2.0005566, 9.1790244
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0397832, 9.2574776
-0.196133, -2.0397832, 9.218251
-0.196133, -2.0005566, 9.218251
-0.196133, -1.96133, 9.1790244
-0.1569064, -2.0005566, 9.2574776
-0.2745862, -1.96133, 9.1397978
-0.2353596, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.1790244
-0.2745862, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.1790244
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.196133, -1.9221034, 9.218251
-0.2353596, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.2574776
-0.2353596, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.1790244
-0.2353596, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.2574776
-0.1569064, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2745862, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.1397978
-0.196133, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.218251
-0.196133, -1.96133, 9.2967042
-0.2353596, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.218251
-0.2745862, -1.96133, 9.1790244
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.1569064, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.196133, -1.96133, 9.1790244
-0.196133, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.1790244
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0397832, 9.218251
-0.1569064, -2.0397832, 9.2574776
-0.1569064, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2745862, -2.0397832, 9.218251
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0397832, 9.2574776
-0.196133, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.2353596, -1.96133, 9.2574776
-0.2745862, -1.96133, 9.2574776
-0.2353596, -1.96133, 9.1790244
-0.1569064, -2.0397832, 9.1790244
-0.196133, -2.0397832, 9.2967042
-0.2745862, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.3359308
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0397832, 9.2967042
-0.196133, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2967042
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0397832, 9.3359308
-0.196133, -2.0397832, 9.2967042
-0.196133, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.2967042
-0.196133, -2.0397832, 9.218251
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -1.96133, 9.218251
-0.196133, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.2353596, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.1569064, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.3359308
-0.2353596, -2.0397832, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2967042
-0.2353596, -1.96133, 9.218251
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.218251
-0.2745862, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -1.96133, 9.2574776
-0.2745862, -2.0005566, 9.218251
-0.1569064, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.196133, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.2745862, -1.96133, 9.2967042
-0.2353596, -2.0397832, 9.1790244
-0.196133, -2.0005566, 9.218251
-0.2745862, -1.96133, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.2967042
-0.2353596, -1.96133, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -1.96133, 9.2967042
-0.2745862, -2.0397832, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.1790244
-0.2353596, -2.0397832, 9.3359308
-0.196133, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0397832, 9.2967042
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0397832, 9.2574776
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -1.96133, 9.2574776
-0.2353596, -2.0397832, 9.3359308
-0.196133, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2967042
-0.1569064, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.3359308
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0397832, 9.2967042
-0.2745862, -2.0005566, 9.218251
-0.196133, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.218251
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.2967042
-0.2745862, -1.96133, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2967042
-0.196133, -2.0005566, 9.3359308
-0.196133, -2.0005566, 9.2574776
-0.2745862, -1.96133, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.218251
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0397832, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.3359308
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2574776
-0.2353596, -2.0397832, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.218251
-0.196133, -1.96133, 9.2967042
-0.2745862, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0790097999999997, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.3751574
-0.2745862, -1.96133, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.218251
-0.2353596, -2.0397832, 9.2574776
-0.2353596, -2.0005566, 9.2574776
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.3751574
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -1.96133, 9.2967042
-0.2353596, -1.96133, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.3359308
-0.2745862, -2.0005566, 9.3359308
-0.2353596, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.2745862, -1.96133, 9.2967042
-0.2745862, -2.0397832, 9.2574776
-0.2745862, -2.0005566, 9.3359308
-0.2353596, -2.0397832, 9.2967042
-0.2745862, -2.0005566, 9.3359308
-0.2353596, -1.96133, 9.2574776
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0397832, 9.3359308
-0.2353596, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2574776
-0.196133, -1.96133, 9.2574776
-0.2353596, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -1.96133, 9.2967042
-0.2353596, -2.0005566, 9.3359308
-0.2745862, -1.96133, 9.3359308
-0.2745862, -1.96133, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.196133, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2574776
-0.196133, -2.0397832, 9.218251
-0.2745862, -2.0005566, 9.2967042
-0.2745862, -2.0005566, 9.2967042
-0.2353596, -2.0005566, 9.2967042
-0.196133, -1.96133, 9.3359308
-0.2353596, -2.0005566, 9.2574776
-0.2353596, -2.0397832, 9.2574776
